AMPLITUDE,,,,,,AMPLITUDE,,,,,,AMPLITUDE,,,,,,AMPLITUDE,,,,,,,,,,,PHASE,,,,,,PHASE,,,,,,PHASE,,,,,,PHASE,,,,,,,,,,,,,,,,,,,,
Frequency(Hz),Gen,R,L,C,,Frequency(Hz),Gen,R,L,C,,Frequency(Hz),Gen(V),R,L,C,,Frequency(Hz),Gen(V),R,L,C,, σ_gen,σ_R,σ_L,σ_C,,Frequency(Hz),Gen(rad),R,L,C,,Frequency(Hz),Gen(rad),R,L,C,,Frequency(Hz),Gen(rad),R,L,C,,Frequency(Hz),Gen(rad),R,L,C,,,,,,,,,,,,,,,,
17999.769,3.101,1.524,7.874,8.281,,19999.255,3.135,1.447,8.322,7.1,,29999.53,3.17,0.564,4.81,1.795,,39998.764,3.18,0.336,3.952,0.72,,,,,,,17999.769,0.022,0.278,1.951,5.424,,19999.255,0.294,6.053,1.456,4.962,,29999.53,0.144,5.313,0.808,4.44,,39998.764,3.18,0.336,3.952,0.72,,,,,,,,,,,,,,,,
17999.989,3.101,1.524,7.871,8.278,,19998.984,3.133,1.446,8.323,7.099,,29999.101,3.168,0.564,4.811,1.794,,39998.949,0.282,5.252,1.014,4.641,,,,,,,17999.989,0.022,0.28,1.954,5.427,,19998.984,0.293,6.055,1.455,4.962,,29999.101,0.141,5.311,0.807,4.438,,39998.949,0.282,5.252,1.014,4.641,,,,,,,,,,,,,,,,
17999.687,3.1,1.524,7.875,8.28,,19999.098,3.137,1.447,8.321,7.1,,29999.504,3.171,0.565,4.808,1.797,,39998.169,3.175,0.336,3.944,0.719,,,,,,,17999.687,0.022,0.279,1.952,5.424,,19999.098,0.297,6.053,1.456,4.963,,29999.504,0.146,5.316,0.809,4.443,,39998.169,3.175,0.336,3.944,0.719,,,,,,,,,,,,,,,,
17999.792,3.1,1.524,7.874,8.28,,19998.629,3.118,1.446,8.331,7.097,,29999.322,3.17,0.564,4.809,1.796,,39998.803,0.277,5.25,1.01,4.639,,,,,,,17999.792,0.022,0.278,1.951,5.424,,19998.629,0.278,6.048,1.452,4.958,,29999.322,0.144,5.314,0.808,4.441,,39998.803,0.277,5.25,1.01,4.639,,,,,,,,,,,,,,,,
17999.849,3.101,1.524,7.875,8.28,,19999.037,3.121,1.446,8.329,7.097,,29999.485,3.169,0.564,4.81,1.796,,39998.949,3.188,0.336,3.961,0.72,,,,,,,17999.849,0.022,0.279,1.952,5.426,,19999.037,0.279,6.049,1.453,4.955,,29999.485,0.143,5.313,0.808,4.44,,39998.949,3.188,0.336,3.961,0.72,,,,,,,,,,,,,,,,
17999.899,3.101,1.524,7.871,8.277,,19998.881,3.119,1.446,8.33,7.097,,29999.34,3.168,0.564,4.811,1.795,,39998.965,0.289,5.256,1.022,4.646,,,,,,,17999.899,0.023,0.28,1.953,5.427,,19998.881,0.278,6.049,1.452,4.955,,29999.34,0.139,5.311,0.807,4.438,,39998.965,0.289,5.256,1.022,4.646,,,,,,,,,,,,,,,,
17999.99,3.1,1.524,7.872,8.276,,19999.072,3.136,1.447,8.321,7.099,,29999.128,3.167,0.564,4.813,1.794,,39998.803,3.183,0.336,3.955,0.72,,,,,,,17999.99,0.023,0.28,1.954,5.427,,19999.072,0.296,6.056,1.456,4.962,,29999.128,0.138,5.309,0.806,4.436,,39998.803,3.183,0.336,3.955,0.72,,,,,,,,,,,,,,,,
17999.96,3.101,1.524,7.874,8.276,,19998.851,3.119,1.446,8.33,7.096,,29999.628,3.169,0.564,4.811,1.795,,39998.214,0.281,5.252,1.012,4.641,,,,,,,17999.96,0.024,0.282,1.956,5.43,,19998.851,0.278,6.049,1.453,4.958,,29999.628,0.142,5.311,0.807,4.438,,39998.214,0.281,5.252,1.012,4.641,,,,,,,,,,,,,,,,
18000.056,3.101,1.524,7.872,8.276,,19998.84,3.124,1.446,8.327,7.097,,29999.484,3.168,0.564,4.811,1.795,,39998.965,3.195,0.336,3.972,0.721,,,,,,,18000.056,0.023,0.282,1.956,5.429,,19998.84,0.284,6.05,1.453,4.959,,29999.484,0.14,5.311,0.807,4.438,,39998.965,3.195,0.336,3.972,0.721,,,,,,,,,,,,,,,,
17999.758,3.1,1.524,7.874,8.279,,19999.157,3.131,1.446,8.323,7.098,,29999.189,3.167,0.564,4.811,1.795,,39998.954,0.284,5.253,1.015,4.642,,,,,,,17999.758,0.022,0.278,1.951,5.424,,19999.157,0.291,6.052,1.455,4.957,,29999.189,0.14,5.311,0.807,4.438,,39998.954,0.284,5.253,1.015,4.642,,,,,,,,,,,,,,,,
17999.867,3.1,1.524,7.871,8.277,,19998.946,3.128,1.446,8.326,7.098,,29999.459,3.171,0.565,4.807,1.797,,39998.214,3.184,0.336,3.955,0.72,,,,,,,17999.867,0.023,0.281,1.954,5.427,,19998.946,0.287,6.051,1.454,4.96,,29999.459,0.148,5.317,0.809,4.444,,39998.214,3.184,0.336,3.955,0.72,,,,,,,,,,,,,,,,
17999.81,3.101,1.524,7.876,8.281,,19998.958,3.132,1.446,8.323,7.099,,29999.389,3.167,0.564,4.812,1.795,,39999.089,0.285,5.255,1.018,4.644,,,,,,,17999.81,0.021,0.276,1.95,5.423,,19998.958,0.292,6.055,1.455,4.961,,29999.389,0.137,5.31,0.807,4.437,,39999.089,0.285,5.255,1.018,4.644,,,,,,,,,,,,,,,,
17999.91,3.1,1.524,7.87,8.277,,19999.089,3.133,1.447,8.323,7.099,,29998.948,3.167,0.564,4.812,1.795,,39998.954,3.19,0.336,3.963,0.721,,,,,,,17999.91,0.023,0.28,1.953,5.427,,19999.089,0.292,6.055,1.455,4.962,,29998.948,0.139,5.311,0.807,4.437,,39998.954,3.19,0.336,3.963,0.721,,,,,,,,,,,,,,,,
18000.05,3.101,1.524,7.874,8.279,,19998.305,3.132,1.447,8.324,7.099,,29999.384,3.172,0.565,4.807,1.797,,39999.1,0.289,5.256,1.021,4.646,,,,,,,18000.05,0.021,0.278,1.951,5.424,,19998.305,0.293,6.056,1.459,4.962,,29999.384,0.15,5.317,0.809,4.444,,39999.1,0.289,5.256,1.021,4.646,,,,,,,,,,,,,,,,
17999.728,3.1,1.524,7.87,8.277,,19999.043,3.125,1.446,8.328,7.098,,29999.548,3.171,0.565,4.809,1.797,,39999.089,3.191,0.336,3.968,0.721,,,,,,,17999.728,0.023,0.28,1.954,5.427,,19999.043,0.283,6.05,1.453,4.959,,29999.548,0.146,5.315,0.809,4.442,,39999.089,3.191,0.336,3.968,0.721,,,,,,,,,,,,,,,,
17999.781,3.1,1.524,7.872,8.277,,19998.691,3.118,1.446,8.331,7.097,,29998.85,3.167,0.564,4.812,1.794,,39999.199,0.292,5.259,1.025,4.648,,,,,,,17999.781,0.023,0.279,1.952,5.425,,19998.691,0.277,6.048,1.452,4.958,,29998.85,0.139,5.31,0.806,4.437,,39999.199,0.292,5.259,1.025,4.648,,,,,,,,,,,,,,,,
17999.887,3.101,1.524,7.871,8.277,,19998.746,3.131,1.446,8.324,7.099,,29999.541,3.172,0.565,4.808,1.797,,39999.1,3.195,0.336,3.972,0.721,,,,,,,17999.887,0.023,0.281,1.955,5.428,,19998.746,0.292,6.055,1.455,4.961,,29999.541,0.148,5.316,0.809,4.443,,39999.1,3.195,0.336,3.972,0.721,,,,,,,,,,,,,,,,
18000.037,3.101,1.524,7.87,8.277,,19999.285,3.131,1.446,8.324,7.099,,29998.961,3.167,0.564,4.813,1.794,,39999.35,0.291,5.258,1.023,4.647,,,,,,,18000.037,0.023,0.281,1.955,5.428,,19999.285,0.29,6.051,1.455,4.957,,29998.961,0.139,5.309,0.806,4.436,,39999.35,0.291,5.258,1.023,4.647,,,,,,,,,,,,,,,,
17999.907,3.1,1.524,7.872,8.276,,19998.988,3.136,1.447,8.322,7.1,,29999.224,3.171,0.564,4.809,1.796,,39999.199,3.198,0.336,3.977,0.722,,,,,,,17999.907,0.023,0.282,1.954,5.428,,19998.988,0.296,6.056,1.456,4.962,,29999.224,0.147,5.315,0.809,4.442,,39999.199,3.198,0.336,3.977,0.722,,,,,,,,,,,,,,,,
18000.057,3.101,1.524,7.871,8.277,,19999.434,3.138,1.447,8.32,7.101,,29999.418,3.17,0.564,4.809,1.796,,39998.601,0.276,5.25,1.007,4.638,,,,,,,18000.057,0.022,0.279,1.952,5.426,,19999.434,0.296,6.053,1.456,4.963,,29999.418,0.145,5.314,0.808,4.441,,39998.601,0.276,5.25,1.007,4.638,,,,,,,,,,,,,,,,
18000.013,3.101,1.524,7.872,8.276,,19998.629,3.122,1.446,8.329,7.097,,29999.284,3.166,0.564,4.813,1.794,,39999.35,3.198,0.336,3.975,0.722,,,,,,,18000.013,0.023,0.282,1.956,5.429,,19998.629,0.281,6.053,1.453,4.959,,29999.284,0.135,5.308,0.806,4.435,,39999.35,3.198,0.336,3.975,0.722,,,,,,,,,,,,,,,,
17999.845,3.101,1.524,7.872,8.276,,19999.176,3.134,1.447,8.323,7.1,,29999.383,3.169,0.564,4.81,1.796,,39998.638,0.267,5.247,0.999,4.635,,,,,,,17999.845,0.024,0.282,1.956,5.429,,19999.176,0.294,6.052,1.455,4.962,,29999.383,0.144,5.313,0.808,4.44,,39998.638,0.267,5.247,0.999,4.635,,,,,,,,,,,,,,,,
17999.93,3.101,1.524,7.871,8.276,,19999.088,3.134,1.447,8.323,7.1,,29999.366,3.172,0.565,4.808,1.797,,39998.601,3.181,0.336,3.952,0.72,,,,,,,17999.93,0.023,0.28,1.954,5.427,,19999.088,0.293,6.055,1.455,4.961,,29999.366,0.15,5.317,0.81,4.444,,39998.601,3.181,0.336,3.952,0.72,,,,,,,,,,,,,,,,
17999.89,3.101,1.524,7.871,8.276,,19999.46,3.122,1.446,8.329,7.098,,29999.456,3.169,0.564,4.81,1.796,,39998.924,0.279,5.251,1.012,4.64,,,,,,,17999.89,0.024,0.282,1.956,5.429,,19999.46,0.278,6.049,1.453,4.955,,29999.456,0.142,5.313,0.808,4.44,,39998.924,0.279,5.251,1.012,4.64,,,,,,,,,,,,,,,,
18000.02,3.1,1.524,7.87,8.277,,19999.035,3.132,1.447,8.324,7.099,,29999.559,3.172,0.565,4.807,1.798,,39998.638,3.174,0.336,3.941,0.719,,,,,,,18000.02,0.022,0.279,1.952,5.426,,19999.035,0.292,6.052,1.455,4.961,,29999.559,0.149,5.317,0.809,4.444,,39998.638,3.174,0.336,3.941,0.719,,,,,,,,,,,,,,,,
17999.955,3.1,1.524,7.87,8.276,,,,,,,,29999.337,3.169,0.564,4.81,1.796,,39998.912,0.281,5.252,1.012,4.641,,,,,,,17999.955,0.023,0.279,1.953,5.426,,,,,,,,29999.337,0.143,5.312,0.808,4.44,,39998.912,0.281,5.252,1.012,4.641,,,,,,,,,,,,,,,,
17999.954,3.101,1.524,7.871,8.277,,,,,,,,29999.525,3.171,0.565,4.81,1.797,,39998.924,3.185,0.336,3.959,0.72,,,,,,,17999.954,0.022,0.28,1.954,5.427,,,,,,,,29999.525,0.145,5.314,0.809,4.441,,39998.924,3.185,0.336,3.959,0.72,,,,,,,,,,,,,,,,
17999.947,3.1,1.524,7.87,8.277,,,,,,,,29999.595,3.171,0.565,4.809,1.797,,39999.001,0.28,5.251,1.013,4.641,,,,,,,17999.947,0.022,0.279,1.953,5.426,,,,,,,,29999.595,0.146,5.315,0.809,4.442,,39999.001,0.28,5.251,1.013,4.641,,,,,,,,,,,,,,,,
17999.974,3.101,1.523,7.872,8.275,,,,,,,,29999.07,3.167,0.564,4.813,1.795,,39998.912,3.187,0.336,3.959,0.721,,,,,,,17999.974,0.023,0.281,1.955,5.428,,,,,,,,29999.07,0.138,5.31,0.807,4.436,,39998.912,3.187,0.336,3.959,0.721,,,,,,,,,,,,,,,,
17999.93,3.101,1.524,7.869,8.276,,,,,,,,29998.997,3.166,0.564,4.813,1.794,,39998.915,0.285,5.254,1.017,4.644,,,,,,,17999.93,0.023,0.28,1.954,5.427,,,,,,,,29998.997,0.136,5.309,0.806,4.435,,39998.915,0.285,5.254,1.017,4.644,,,,,,,,,,,,,,,,
17999.904,3.1,1.524,7.872,8.277,,,,,,,,29999.533,3.17,0.564,4.81,1.796,,39999.001,3.187,0.336,3.96,0.721,,,,,,,17999.904,0.022,0.279,1.951,5.424,,,,,,,,29999.533,0.144,5.313,0.808,4.44,,39999.001,3.187,0.336,3.96,0.721,,,,,,,,,,,,,,,,
17999.86,3.1,1.524,7.875,8.279,,,,,,,,29999.679,3.169,0.564,4.811,1.796,,39999.123,0.28,5.252,1.013,4.641,,,,,,,17999.86,0.021,0.277,1.95,5.423,,,,,,,,29999.679,0.141,5.313,0.808,4.439,,39999.123,0.28,5.252,1.013,4.641,,,,,,,,,,,,,,,,
17999.818,3.1,1.524,7.871,8.277,,,,,,,,29999.36,3.169,0.564,4.811,1.796,,39998.915,3.191,0.336,3.966,0.721,,,,,,,17999.818,0.023,0.278,1.952,5.425,,,,,,,,29999.36,0.142,5.312,0.808,4.439,,39998.915,3.191,0.336,3.966,0.721,,,,,,,,,,,,,,,,
17999.872,3.1,1.524,7.872,8.278,,,,,,,,29999.648,3.173,0.565,4.808,1.798,,39999.182,0.282,5.253,1.016,4.642,,,,,,,17999.872,0.022,0.278,1.951,5.424,,,,,,,,29999.648,0.15,5.318,0.81,4.444,,39999.182,0.282,5.253,1.016,4.642,,,,,,,,,,,,,,,,
17999.833,3.1,1.524,7.874,8.279,,,,,,,,29999.345,3.171,0.565,4.809,1.797,,39999.123,3.187,0.336,3.962,0.721,,,,,,,17999.833,0.021,0.277,1.95,5.423,,,,,,,,29999.345,0.148,5.315,0.809,4.442,,39999.123,3.187,0.336,3.962,0.721,,,,,,,,,,,,,,,,
18000.021,3.1,1.524,7.872,8.275,,,,,,,,29999.587,3.172,0.565,4.808,1.798,,39999.131,0.288,5.256,1.021,4.645,,,,,,,18000.021,0.023,0.282,1.956,5.429,,,,,,,,29999.587,0.148,5.317,0.809,4.444,,39999.131,0.288,5.256,1.021,4.645,,,,,,,,,,,,,,,,
17999.943,3.1,1.524,7.871,8.276,,,,,,,,29999.506,3.169,0.565,4.811,1.796,,39999.182,3.189,0.336,3.965,0.721,,,,,,,17999.943,0.023,0.28,1.953,5.427,,,,,,,,29999.506,0.142,5.313,0.808,4.44,,39999.182,3.189,0.336,3.965,0.721,,,,,,,,,,,,,,,,
17999.909,3.1,1.523,7.872,8.275,,,,,,,,29999.482,3.166,0.564,4.813,1.795,,39999.082,0.285,5.254,1.017,4.643,,,,,,,17999.909,0.023,0.281,1.955,5.428,,,,,,,,29999.482,0.136,5.309,0.807,4.436,,39999.082,0.285,5.254,1.017,4.643,,,,,,,,,,,,,,,,
17999.767,3.101,1.524,7.871,8.276,,,,,,,,29999.463,3.172,0.565,4.808,1.798,,39999.131,3.194,0.336,3.973,0.722,,,,,,,17999.767,0.023,0.28,1.954,5.427,,,,,,,,29999.463,0.148,5.317,0.809,4.444,,39999.131,3.194,0.336,3.973,0.722,,,,,,,,,,,,,,,,
17999.871,3.1,1.524,7.87,8.277,,,,,,,,29999.54,3.168,0.564,4.813,1.795,,39998.724,0.28,5.251,1.012,4.64,,,,,,,17999.871,0.022,0.279,1.953,5.426,,,,,,,,29999.54,0.139,5.31,0.807,4.437,,39998.724,0.28,5.251,1.012,4.64,,,,,,,,,,,,,,,,
17999.961,3.1,1.523,7.872,8.275,,,,,,,,29999.478,3.168,0.564,4.812,1.795,,39999.082,3.191,0.336,3.967,0.721,,,,,,,17999.961,0.023,0.283,1.956,5.429,,,,,,,,29999.478,0.138,5.31,0.807,4.437,,39999.082,3.191,0.336,3.967,0.721,,,,,,,,,,,,,,,,
18000.056,3.101,1.524,7.874,8.275,,,,,,,,29999.546,3.171,0.565,4.809,1.797,,39998.969,0.286,5.255,1.017,4.643,,,,,,,18000.056,0.023,0.281,1.955,5.429,,,,,,,,29999.546,0.147,5.316,0.809,4.442,,39998.969,0.286,5.255,1.017,4.643,,,,,,,,,,,,,,,,
17999.981,3.1,1.524,7.873,8.277,,,,,,,,29999.374,3.168,0.564,4.812,1.796,,39998.724,3.184,0.336,3.958,0.721,,,,,,,17999.981,0.021,0.277,1.95,5.424,,,,,,,,29999.374,0.14,5.311,0.808,4.439,,39998.724,3.184,0.336,3.958,0.721,,,,,,,,,,,,,,,,
17999.779,3.1,1.524,7.872,8.277,,,,,,,,29999.339,3.168,0.564,4.812,1.796,,39998.747,0.274,5.249,1.005,4.637,,,,,,,17999.779,0.022,0.278,1.952,5.425,,,,,,,,29999.339,0.14,5.311,0.807,4.438,,39998.747,0.274,5.249,1.005,4.637,,,,,,,,,,,,,,,,
17999.817,3.1,1.524,7.872,8.277,,,,,,,,29999.572,3.17,0.565,4.81,1.796,,39998.969,3.191,0.336,3.967,0.721,,,,,,,17999.817,0.022,0.278,1.952,5.425,,,,,,,,29999.572,0.145,5.313,0.808,4.44,,39998.969,3.191,0.336,3.967,0.721,,,,,,,,,,,,,,,,
17999.903,3.101,1.524,7.869,8.276,,,,,,,,29999.006,3.17,0.565,4.81,1.797,,39998.775,0.283,5.254,1.016,4.642,,,,,,,17999.903,0.023,0.28,1.954,5.427,,,,,,,,29999.006,0.146,5.315,0.809,4.441,,39998.775,0.283,5.254,1.016,4.642,,,,,,,,,,,,,,,,
17999.926,3.101,1.524,7.87,8.275,,,,,,,,29999.485,3.173,0.565,4.807,1.798,,39998.747,3.179,0.336,3.95,0.72,,,,,,,17999.926,0.023,0.281,1.955,5.428,,,,,,,,29999.485,0.151,5.318,0.81,4.445,,39998.747,3.179,0.336,3.95,0.72,,,,,,,,,,,,,,,,
18000.015,3.1,1.524,7.871,8.276,,,,,,,,29999.473,3.172,0.565,4.807,1.798,,39998.603,0.267,5.246,0.998,4.634,,,,,,,18000.015,0.021,0.279,1.952,5.425,,,,,,,,29999.473,0.15,5.317,0.81,4.445,,39998.603,0.267,5.246,0.998,4.634,,,,,,,,,,,,,,,,
17999.896,3.101,1.524,7.87,8.275,,,,,,,,29999.677,3.172,0.565,4.808,1.798,,39998.775,3.189,0.336,3.964,0.721,,,,,,,17999.896,0.024,0.282,1.956,5.429,,,,,,,,29999.677,0.148,5.317,0.81,4.444,,39998.775,3.189,0.336,3.964,0.721,,,,,,,,,,,,,,,,
17999.839,3.1,1.523,7.871,8.274,,,,,,,,29998.975,3.167,0.564,4.813,1.795,,39999.008,0.278,5.252,1.01,4.64,,,,,,,17999.839,0.023,0.28,1.953,5.427,,,,,,,,29998.975,0.14,5.31,0.807,4.437,,39999.008,0.278,5.252,1.01,4.64,,,,,,,,,,,,,,,,
17999.92,3.101,1.523,7.871,8.274,,,,,,,,29999.524,3.171,0.565,4.808,1.798,,39998.603,3.173,0.336,3.941,0.72,,,,,,,17999.92,0.023,0.281,1.955,5.428,,,,,,,,29999.524,0.147,5.316,0.809,4.443,,39998.603,3.173,0.336,3.941,0.72,,,,,,,,,,,,,,,,
17999.914,3.101,1.524,7.873,8.277,,,,,,,,29999.482,3.171,0.565,4.809,1.797,,39999.08,0.274,5.249,1.007,4.638,,,,,,,17999.914,0.021,0.277,1.95,5.423,,,,,,,,29999.482,0.147,5.316,0.809,4.443,,39999.08,0.274,5.249,1.007,4.638,,,,,,,,,,,,,,,,
17999.967,3.101,1.524,7.87,8.276,,,,,,,,29999.422,3.169,0.564,4.811,1.796,,39999.008,3.185,0.336,3.957,0.721,,,,,,,17999.967,0.022,0.279,1.953,5.426,,,,,,,,29999.422,0.141,5.312,0.808,4.439,,39999.008,3.185,0.336,3.957,0.721,,,,,,,,,,,,,,,,
18000.099,3.1,1.524,7.873,8.277,,,,,,,,29999.508,3.173,0.565,4.808,1.798,,39999.075,0.28,5.252,1.012,4.641,,,,,,,18000.099,0.021,0.278,1.951,5.424,,,,,,,,29999.508,0.15,5.317,0.809,4.444,,39999.075,0.28,5.252,1.012,4.641,,,,,,,,,,,,,,,,
17999.874,3.1,1.524,7.872,8.276,,,,,,,,29998.82,3.169,0.564,4.811,1.796,,39999.08,3.182,0.336,3.952,0.72,,,,,,,17999.874,0.022,0.278,1.951,5.424,,,,,,,,29998.82,0.145,5.313,0.808,4.44,,39999.08,3.182,0.336,3.952,0.72,,,,,,,,,,,,,,,,
17999.839,3.1,1.524,7.873,8.278,,,,,,,,29999.21,3.171,0.565,4.81,1.797,,39998.899,0.284,5.253,1.016,4.643,,,,,,,17999.839,0.022,0.278,1.951,5.424,,,,,,,,29999.21,0.146,5.315,0.809,4.442,,39998.899,0.284,5.253,1.016,4.643,,,,,,,,,,,,,,,,
17999.955,3.1,1.524,7.87,8.275,,,,,,,,29999.493,3.167,0.564,4.813,1.795,,39999.075,3.186,0.336,3.96,0.721,,,,,,,17999.955,0.022,0.279,1.953,5.426,,,,,,,,29999.493,0.136,5.309,0.806,4.436,,39999.075,3.186,0.336,3.96,0.721,,,,,,,,,,,,,,,,
17999.726,3.1,1.524,7.87,8.276,,,,,,,,29999.471,3.171,0.565,4.81,1.797,,39999.213,0.293,5.259,1.026,4.648,,,,,,,17999.726,0.023,0.279,1.952,5.425,,,,,,,,29999.471,0.146,5.314,0.808,4.441,,39999.213,0.293,5.259,1.026,4.648,,,,,,,,,,,,,,,,
17999.84,3.101,1.524,7.869,8.275,,,,,,,,29999.434,3.173,0.565,4.808,1.799,,39998.899,3.189,0.336,3.964,0.721,,,,,,,17999.84,0.023,0.28,1.953,5.427,,,,,,,,29999.434,0.151,5.318,0.81,4.445,,39998.899,3.189,0.336,3.964,0.721,,,,,,,,,,,,,,,,
17999.95,3.1,1.524,7.87,8.275,,,,,,,,,,,,,,39998.966,0.286,5.254,1.019,4.644,,,,,,,17999.95,0.022,0.279,1.952,5.425,,,,,,,,,,,,,,39998.966,0.286,5.254,1.019,4.644,,,,,,,,,,,,,,,,
17999.797,3.101,1.524,7.874,8.277,,,,,,,,,,,,,,39999.213,3.199,0.336,3.978,0.722,,,,,,,17999.797,0.022,0.277,1.95,5.424,,,,,,,,,,,,,,39999.213,3.199,0.336,3.978,0.722,,,,,,,,,,,,,,,,
17999.928,3.1,1.523,7.87,8.275,,,,,,,,,,,,,,39997.98,0.272,5.248,1.005,4.636,,,,,,,17999.928,0.023,0.279,1.953,5.426,,,,,,,,,,,,,,39997.98,0.272,5.248,1.005,4.636,,,,,,,,,,,,,,,,
17999.839,3.1,1.523,7.871,8.275,,,,,,,,,,,,,,39998.966,3.191,0.336,3.967,0.721,,,,,,,17999.839,0.023,0.279,1.952,5.426,,,,,,,,,,,,,,39998.966,3.191,0.336,3.967,0.721,,,,,,,,,,,,,,,,
18000.036,3.1,1.524,7.873,8.276,,,,,,,,,,,,,,39999.08,0.289,5.256,1.022,4.646,,,,,,,18000.036,0.02,0.277,1.95,5.423,,,,,,,,,,,,,,39999.08,0.289,5.256,1.022,4.646,,,,,,,,,,,,,,,,
17999.971,3.1,1.523,7.87,8.274,,,,,,,,,,,,,,39997.98,3.176,0.336,3.947,0.72,,,,,,,17999.971,0.023,0.28,1.953,5.427,,,,,,,,,,,,,,39997.98,3.176,0.336,3.947,0.72,,,,,,,,,,,,,,,,
17999.918,3.101,1.523,7.87,8.274,,,,,,,,,,,,,,39999.211,0.291,5.257,1.025,4.648,,,,,,,17999.918,0.023,0.281,1.954,5.428,,,,,,,,,,,,,,39999.211,0.291,5.257,1.025,4.648,,,,,,,,,,,,,,,,
17999.881,3.101,1.524,7.87,8.276,,,,,,,,,,,,,,39999.08,3.195,0.336,3.973,0.722,,,,,,,17999.881,0.023,0.278,1.952,5.425,,,,,,,,,,,,,,39999.08,3.195,0.336,3.973,0.722,,,,,,,,,,,,,,,,
17999.828,3.101,1.524,7.87,8.275,,,,,,,,,,,,,,39999.154,0.286,5.254,1.018,4.644,,,,,,,17999.828,0.023,0.279,1.952,5.426,,,,,,,,,,,,,,39999.154,0.286,5.254,1.018,4.644,,,,,,,,,,,,,,,,
17999.928,3.101,1.524,7.87,8.275,,,,,,,,,,,,,,39999.211,3.198,0.336,3.977,0.722,,,,,,,17999.928,0.023,0.279,1.952,5.426,,,,,,,,,,,,,,39999.211,3.198,0.336,3.977,0.722,,,,,,,,,,,,,,,,
17999.987,3.1,1.524,7.872,8.275,,,,,,,,,,,,,,39999.214,0.288,5.256,1.02,4.645,,,,,,,17999.987,0.021,0.277,1.95,5.424,,,,,,,,,,,,,,39999.214,0.288,5.256,1.02,4.645,,,,,,,,,,,,,,,,
17999.737,3.1,1.524,7.872,8.276,,,,,,,,,,,,,,39999.154,3.191,0.336,3.968,0.721,,,,,,,17999.737,0.022,0.277,1.95,5.424,,,,,,,,,,,,,,39999.154,3.191,0.336,3.968,0.721,,,,,,,,,,,,,,,,
17999.902,3.1,1.523,7.87,8.273,,,,,,,,,,,,,,39998.119,0.282,5.253,1.014,4.641,,,,,,,17999.902,0.024,0.281,1.954,5.428,,,,,,,,,,,,,,39998.119,0.282,5.253,1.014,4.641,,,,,,,,,,,,,,,,
17999.82,3.1,1.524,7.873,8.276,,,,,,,,,,,,,,39999.214,3.194,0.336,3.971,0.722,,,,,,,17999.82,0.021,0.278,1.95,5.423,,,,,,,,,,,,,,39999.214,3.194,0.336,3.971,0.722,,,,,,,,,,,,,,,,
17999.968,3.1,1.524,7.87,8.275,,,,,,,,,,,,,,39999.331,0.291,5.257,1.023,4.647,,,,,,,17999.968,0.022,0.278,1.952,5.425,,,,,,,,,,,,,,39999.331,0.291,5.257,1.023,4.647,,,,,,,,,,,,,,,,
17999.888,3.1,1.524,7.869,8.274,,,,,,,,,,,,,,39998.119,3.185,0.336,3.958,0.721,,,,,,,17999.888,0.023,0.279,1.953,5.426,,,,,,,,,,,,,,39998.119,3.185,0.336,3.958,0.721,,,,,,,,,,,,,,,,
17999.828,3.1,1.524,7.872,8.276,,,,,,,,,,,,,,39998.055,0.275,5.249,1.008,4.638,,,,,,,17999.828,0.022,0.278,1.951,5.424,,,,,,,,,,,,,,39998.055,0.275,5.249,1.008,4.638,,,,,,,,,,,,,,,,
17999.812,3.101,1.524,7.871,8.276,,,,,,,,,,,,,,39999.331,3.197,0.336,3.976,0.722,,,,,,,17999.812,0.023,0.278,1.952,5.425,,,,,,,,,,,,,,39999.331,3.197,0.336,3.976,0.722,,,,,,,,,,,,,,,,
18000.146,3.1,1.524,7.87,8.275,,,,,,,,,,,,,,39999.013,0.281,5.252,1.013,4.641,,,,,,,18000.146,0.021,0.277,1.951,5.424,,,,,,,,,,,,,,39999.013,0.281,5.252,1.013,4.641,,,,,,,,,,,,,,,,
18000.143,3.1,1.524,7.872,8.275,,,,,,,,,,,,,,39998.055,3.178,0.336,3.949,0.72,,,,,,,18000.143,0.02,0.277,1.951,5.424,,,,,,,,,,,,,,39998.055,3.178,0.336,3.949,0.72,,,,,,,,,,,,,,,,
17999.949,3.101,1.523,7.868,8.273,,,,,,,,,,,,,,39998.674,0.288,5.256,1.021,4.645,,,,,,,17999.949,0.023,0.28,1.953,5.427,,,,,,,,,,,,,,39998.674,0.288,5.256,1.021,4.645,,,,,,,,,,,,,,,,
18000.145,3.101,1.523,7.873,8.273,,,,,,,,,,,,,,39999.013,3.187,0.336,3.961,0.721,,,,,,,18000.145,0.023,0.282,1.955,5.429,,,,,,,,,,,,,,39999.013,3.187,0.336,3.961,0.721,,,,,,,,,,,,,,,,
17999.881,3.1,1.524,7.872,8.276,,,,,,,,,,,,,,39998.749,0.282,5.253,1.015,4.642,,,,,,,17999.881,0.022,0.277,1.95,5.424,,,,,,,,,,,,,,39998.749,0.282,5.253,1.015,4.642,,,,,,,,,,,,,,,,
18000.029,3.101,1.523,7.87,8.273,,,,,,,,,,,,,,39998.674,3.192,0.336,3.969,0.722,,,,,,,18000.029,0.022,0.28,1.953,5.427,,,,,,,,,,,,,,39998.674,3.192,0.336,3.969,0.722,,,,,,,,,,,,,,,,
